an,title,snippet,body
BBCMEP0020240322ek3m001p6,Programme summary of Iranian Khuzestan Province TV news 19:30 GMT 11 Mar 24,"Summary of programme broadcast on Iranian state-run provincial TV from Khuzestan on 11 March at 19:30 GMT

A. News headlines.","B. Provincial news:

1. 19:31 Video report hailing the start of the fasting month of Ramadan.

2. 19:34 The deputy head of the Islamic Propagation Coordination Council of the province is interviewed on video about religious and cultural programmes to be carried out in the province during Ramadan.

C. 19:36 Weather.

D. Other news:

1. 19:38 A total of 400 tonnes of apple and orange have been distributed to the market of the province for Nowruz (Iranian New Year).

2. 19:39 Video report warning about negative consequences of Chaharshanbeh Suri bonfire festival.

3. 19:45 Cyber police chief of the province has warned about fake SMS messages about Justice Shares revenues.&#160; &#160;

4. 19:46 The first exhibition of historical pictures, documents and artefacts of Oil Industry has been opened in Ahvaz.

E. Provincial news in brief:

1. 19:48 A festival aimed at assisting needy students has been held in local schools.

2. 19:49 A gathering of Iran-Iraq war veterans has been held in Ramhormoz.&#160;

3. 19:49 The 19th Quran, Itrat and Namaz (prayer) festival has been held in Omidiyeh.&#160;

4. 19:50 An association of medics has been inaugurated in Ahvaz.&#160;

F. More provincial news:

1. 19:50 ""Citizen reporter"" rubric containing news materials sent by people.&#160;

G. 19:55 Sport.

H. 19:58 Calendar and prayer times.

19:58 End of bulletin.

Source: Vision of the Islamic Republic of Iran Khuzestan Provincial TV, Ahvaz, in Persian 1930 GMT 11 Mar 24"
BBCMEP0020240309ek3900002,Syria militant group HTS forms 'reform committees' amid protests,"By BBC Monitoring

An authority linked to Syrian militant group&#160;Hayat Tahrir al-Sham (HTS) has said it has formed community committees to implement reforms amid protests against its rule.","The&#160;Salvation Government's political affairs bureau announced the measures in a statement published on 7 March via Telegram and X.

The move appeared to be an attempt to address&#160;public discontent with HTS's governance in north-western Syria, where protests against its rule have taken place since February.

The statement said that the HTS-backed authority had held meetings with local leaders, activists and journalists to listen and respond to concerns.

In response to feedback, it has set up community committees to quickly implement&#160;""genuine"" reforms and expand participatory governance.

The statement said other institutions were being developed for oversight and complaint resolution.

It stressed that the group's ""revolutionary project"" was an ongoing experiment that required collective efforts to ensure continuous improvement.

On 5 March, the HTS Shura Council issued decrees that announced that seven committees had been formed in areas such as Idlib city, Ariha, Atmeh and Jisr al-Shughur.

The decrees said the six or seven-member committees would engage with residents to address local needs and receive complaints.

They said the committees would provide assistance and facilitate communication between residents and the Salvation Government to improve services.

The announcements come amid protests in HTS-held areas that have demanded the release of detained ""revolutionaries"" and accused the group of torture in its prisons.

Protestors have also called for the resignation of HTS leader&#160;Abu Muhammad al-Jawlani.

This week, HTS&#160;said it released former senior member&#160;Abu Mariya al-Qahtani, who had been detained since last summer on espionage charges.

Al-Qahtani's release was part of a&#160;broader amnesty that also saw the release of hundreds of prisoners swept up in a crackdown on alleged spies among its ranks.

See more:&#160;Briefing: HTS clears and releases senior member after months in custody

HTS-linked governing authority orders release of hundreds of prisoners

Source: Telegram messaging service in Arabic 0800 GMT 7 Mar 24"
BBCMEP0020240305ek35000rt,Programme summary of Iranian Isfahan Province TV news 16:30 GMT 1 Mar 24,"Summary of programme broadcast on Iranian state-run provincial TV from Isfahan on 1 March at 16:30 GMT

16:31 Video clip hailing the high turnout in the 12th Majlis and sixth Assembly of Experts elections in the province.","A. Provincial news:

1. 16:32 The voting &#160;started at 08:00 &#160;(04:30 GMT) and held until 22:00 local time (18:30 GMT).

2. 16:54 Report on Friday prayer sermons in Isfahan led by the interim Friday imam of the city, Hojjat ol-Eslam val-Moslemin Mirdamadi.

3. 16:55 Video report on the people's active participation in the elections in different regions of the province.&#160; &#160;

B. 17:12 Calendar and prayer times.

17:12 End of bulletin.

Source: Vision of the Islamic Republic of Iran Isfahan Provincial TV, Esfahan, in Persian 1630 GMT 1 Mar 24"
BBCMEP0020240323ek3n0002t,Programme summary of Sudan TV news 2000 gmt 19 Mar 24,"Summary of programme broadcast on state-owned Sudan TV on 19 March at 19:00 GMT

2000 Main headlines","2001 The authorities in&#160;Sennar State received the member of the Sovereign Council, Lt Gen&#160; Yasser al-Atta, who visited the state to assess the preparedness of the armed forces to reclaim Gezira State from Rapid Support Force rebels. Video report.

2005 Al-Atta confirmed that all necessary arrangements have been made to eradicate the Rapid Support Force and restore order in Gezira State and Khartoum State. He reassured the Sudanese populace that the armed forces are in control of the situation as they advance towards the western states.

2007 Lt Gen&#160; Yasser al-Atta, also met with the collective leadership of the 17th Infantry Division in Singa, alongside the Sennar Air Defense and state government officials.&#160;

2009 Lt Gen&#160; Yasser al-Atta, conducted an inspection of the 18th Infantry Division in White Nile state. He met with the State Security Committee, chaired by Police Brigadier Saif al-Din Ahmed, where detailed reports were reviewed to ensure effective coordination among all security agencies. The meeting yielded directives to enhance state&#8217;s security measures.

2011 Culture and information minister Graham Abdulqadir met with the acting Indian Ambassador to Sudan Mr. Joshi Jesse, Consul Anil Kumar, and the Indian delegation in Port Sudan. They discussed India's assistance in rehabilitating the Sudanese Broadcasting Corporation in Omdurman after it was recaptured from the RSF militia. They agreed to provide a detailed study on the rehabilitation needs as requested by the India.

2012 Minister of Higher Education and Scientific Research, Prof. Mohamed Hassan Zahab, commended certain university administrations for their efforts in creating conducive academic environments and ensuring stability. During a meeting with university directors in Port Sudan, he reaffirmed the ministry's commitment to supporting all university programs to maintain academic stability amid ongoing activities. Zahab also expressed readiness to assist universities affected by conflict.

2014 Health Minister of Khartoum State attended the inauguration of Bar Al-Walidain Hospital in Khartoum's 21st neighborhood, alongside governor Ahmed Osman Hamza and health officials. The minister praised the hospital's opening amid wartime challenges, emphasizing its significance for the community. Governor Hamza also commended the Federal Health Ministry for its support in improving healthcare services across the region. Video report.

2019 A tour conducted by Khartoum governor Ahmed Osman Hamza and federal health minister Haitham Mohamed Ibrahim, along with their accompanying delegation, unveiled extensive vandalism at government hospitals in Omdurman locality. Video report.

2023 Governor Ahmed Osman Hamza of Khartoum State officially opened a branch of Khartoum Bank in the Seventh Revolution neighborhood, marking the resumption of banking operations in Khartoum. The Federal Health Minister, present at the event, hailed the move as a positive sign amid the armed forces' victories, underscoring the region's restored security. Video report.

2027 Governor Ahmed Osman Hamza of Khartoum State assessed the traffic police's performance in the first quarter of 2024, particularly focusing on vehicle licensing and citizen transactions with the traffic department in safe areas. This occurred during his leadership of a meeting with director of Khartoum State Traffic, Maj Gen Ahmed Ali Al-Khalifa, and director of roads and bridges authority, Mukhtar Saber. The governor instructed the authorities to streamline traffic services and deploy traffic forces in liberated areas.

2028 The sixth infantry division in El Fasher city in North Darfur commemorated the successes of the armed forces and the liberation of the Sudanese Broadcasting Corporation buildings in Omdurman from the Rapid Support Forces.

2029 The governor of Gezira State, Taher Ibrahim Al Khair, highlighted the ongoing provision of exceptional healthcare services despite the country's challenging circumstances. He made these remarks at the inauguration of the Health Insurance Center in the 24th locality of Al Qurashi, a significant addition to the state's healthcare sector. The governor, accompanied by the director of the national intelligence agency, brigadier Imad Al-Din Sayed Ahmed, emphasized the center's role in delivering essential services to its beneficiaries as part of the comprehensive health insurance coverage expansion.

2029 The acting governor of North Darfur state, Hafiz Bakheet Mohamed, presided over a meeting of the state government's cabinet ministers. The meeting included discussed reports from various service ministries. The president of the supreme council for culture and media, Khalid Yousef Abdel Rahim, emphasized the council's briefing on agricultural activities and early preparations for the upcoming season, including livestock surveys. The meeting underscored the significance of agricultural seasons and the need for timely preparations.

2031 Acting governor Mohammed Musa Abdul Rahman of Kassala State witnessed the signing of a partnership agreement between the government and the private sector. The agreement, between the Ministry of Finance and Labor of Kassala State and the United Tuteel Projects Company, aims to rehabilitate and operate the Kassala Printing and Publishing Authority. The governor emphasized the project's significance in revitalizing the printing press to accommodate various publications.

2033 The acting governor of Kassala State, Mohammed Musa Abdul Rahman, chaired a collaborative meeting with the Ministry of Production and Economic Resources and the Executive Unit for Taming the Qash River. The meeting brought together representatives from the Federal Ministry of Irrigation and Water Resources, focusing on excavation and irrigation activities. Discussions centered on the progress of taming the Qash River and ensuring groundwater recharge to provide drinking water for both humans and animals.

2035 The Najashi Charitable Organization, in partnership with the Islamic Education Association of Bahrain, launched the Iftar and Ramadan food basket project at the Arous Al Ramal displacement center in El Obeid City in North Kordofan State. The initiative aims to assist those affected by the war, providing essential support to vulnerable families. Director Salah Hamdou highlighted the program's coverage of all refugee centers, praising the exceptional partnership with the Islamic Education Association of Bahrain.

2038 The acting governor of North Kordofan State, Abd Al-Khaliq Abd Al-Latif, addressed the opening session of the first training course for journalists titled ""Journalists' Safety in Conflict Zones."" The course, organized by the Press Committee of the High Committee for Mobilization and Preparedness, aims to enhance journalists' safety and bolster the media's role in supporting the populace, popular resistance efforts, and supporting the armed forces.

2041 End of bulletin&#160;

Source: Sudan TV, Omdurman, in Arabic 1900 GMT 19 Mar 24"
BBCMEP0020240322ek3m000rv,Programme summary of Iranian Khuzestan Province TV news 19:30 GMT 18 Mar 24,"Summary of programme broadcast on Iranian state-run provincial TV from Khuzestan on 18 March at 19:30 GMT

A. News headlines.","B. 19:31 Weather. The Meteorology Organisation has warned about heavy rains in most of regions of the province. People are advised to stay away from river banks.

C. Provincial news:

1. 19:34 Governor-General Hosseini-Mehrab has chaired the meeting of the Crisis HQ of the province dedicated to measures towards ensuring the safety and security of Nowruz (Iranian New Year) visitors.

2. 19:36 Guardian Council has approved the legitimacy of elections in the province. Reza Jabbari has been elected as an MP for Masjed Soleiman, Haftkel, Lali and Andika. The second round of 12the Majlis elections will be carried out on 10 May in Ramhormoz, Ramshir and Abadan districts.&#160;

3. 19:39 Deputy governor-general for welfare affairs, Khanchi, is interviewed over the phone about preparations for Nowruz trips and services in northern regions of the province.

4. 19:41 Report on signing oil contracts worth about 13bn dollars on the development of Azadegan and Masjed Soleiman oil fields.

5. 19:43 Quran reciting ceremonies have been held in Behbahan and Susangerd on the occasion of the fasting month of Ramadan.

7. 19:44 Public rallies will be held in Ahvaz and other cities of the province after Friday prayer sermons on 22 March.

8. 19:44 Video report on road construction works in 30 villages of Andika County.&#160;

9. 19:46 A radiotherapy unit has been inaugurated at the Golestan Hospital of Ahvaz.

10. 19:46 Video report on the complaints of the crews of vessels of the Karun 3 Dam of Dezpart regarding the delay of salaries.

11. 19:50 Charitable essential products have been distributed among 10,000 needy families in rural regions of the province.

D. Provincial news in brief:

1. 19:52 Over 7,000 village house certificates have been issued in the province since the end of March 2023.&#160;

2. 19:52 Thirteen people have been injured in a shooting during a wedding ceremony in Izeh County. The shooter and the organisers of the ceremony have been arrested.

3. 19:52 A five-month child has died and two people have been wounded in the collapse of a footbridge on the Taleqani Street of Ahvaz.&#160;

4. 19:53 A man has died from the fall of a paraglider in Sarrak region of Izeh.

E. Other news:

1. 19:53 Video report about fire in the storage of Bonakdaran Trade Complex of Ahvaz.&#160;

2. 19:54 Video report about activities of a weaving workshop in Ahvaz.&#160;

F. 19:56 Sport.

G. 19:57 Calendar and prayer times.

19:58 End of bulletin.

Source: Vision of the Islamic Republic of Iran Khuzestan Provincial TV, Ahvaz, in Persian 1930 GMT 18 Mar 24"
BBCMEP0020240321ek3l001xh,Programme summary of Iranian Isfahan Province TV news 16:30 GMT 19 Mar 24,"Summary of programme broadcast on Iranian state-run provincial TV from Isfahan on 19 March at 16:30 GMT

A. News headlines.","B. 16:31 Weather. Report on the start of rains n the province.

C. Provincial news:

1. 16:34 Telephone link-up with traffic police chief of the province, Colonel Mowlavi, about the state of traffic on the roads of the province.

2. 16:37 Over 36,000 Nowruz visitors have been sheltered in the province since 14 March.

3. 16:40 Telephone link-up with the head of the province's Islamic Propagation Coordination Council about programmes to be carried out in the province on the first day of the year (Iranian year starting on 20 March).&#160;

4. 16:43 Video report on tightened market supervision in Fereydan County.

5. 16:46 The channel's correspondent is visiting a decorative flowers greenhouse in Nazhvun district of Isfahan.

6. 16:48 A nomads' production market has been staged in Semiron on the occasion of Nowruz.

C. Provincial news in brief:

1. 16:51 Charitable essential products have been distributed among 120 needy families in Esfandaran village of Jarquiyeh County.

2. 16:51 Ten Nowruz programmes have been launched for Nowruz tourists in Kashan.&#160;

3. 16:52 A ceremony commemorating senior cleric Ayatollah Yasrebi has been held in Kashan.&#160;

D. 16:52 Sport.

E. 16:55 Calendar and prayer times.

16:55 End of bulletin.

Source: Vision of the Islamic Republic of Iran Isfahan Provincial TV, Esfahan, in Persian 1630 GMT 19 Mar 24"
BBCRND0020250819el8j0005l,BBCM Middle East and North Africa Watchlist 19 Aug 25,"Stories being covered today by BBC Monitoring from Arabic broadcast, press and social media sources

Hamas approves new ceasefire proposal","Hamas has said it accepts the latest proposal for a Gaza ceasefire.

In a brief post on Telegram yesterday, ""Hamas and the Palestinian factions announced their approval of the proposal presented to them by Egyptian and Qatari mediators.""

The Saudi-funded Al Arabiya TV said that Egypt and Qatar would invite US special envoy Steve Witkoff to Cairo to finalise the agreement.

Qatari Al Jazeera TV reported that Hamas's approval ""may force Netanyahu to agree to what he previously refused"".

Al Jazeera said the terms of the new deal include the release of 10 Israeli hostages and 18 bodies, a 60-day ceasefire, Israel's withdrawal from the north and east of Gaza and entry of aid, as well as the release of all Palestinian minors and women from Israeli prisons.

We will file a briefing.

Israel examining Hamas response

Israeli media reported this morning that officials are examining Hamas's positive response to the latest ceasefire proposal.

The liberal Haaretz daily cited unnamed Israeli sources as saying that it was still unclear how Israel would respond, quoting Netanyahu as saying that Hamas was under ""atomic pressure"".

The public broadcaster Kan said that Hamas was ""trying to turn the tables and portray itself to Egypt, Qatar and the United States as the one which is willing to go the extra mile and bring and end to the war"".

Despite what Kan described as progress in talks, it also reported that Netanyahu was still expected to hold a cabinet discussion to approve plans for occupying Gaza City on 21 August.

Egypt's Sisi, Qatari PM discuss mediation

Egyptian President Abdul Fattah al-Sisi and visiting Qatari Prime Minister Sheikh Mohammed bin Abdulrahman Al Thani held talks yesterday in Cairo on mediation efforts for a ceasefire deal in Gaza.

""The meeting witnessed a joint emphasis on the extreme importance that Egypt and Qatar were giving to their continuing efforts, in coordination with the US, to reach a deal that would ensure an immediate ceasefire in the Gaza Strip, allow the urgent delivery of humanitarian aid without any obstacles alongside the release of hostages and captives,"" the Egyptian presidential spokesman said in a statement on Facebook.

The two officials also emphasised ""the categorical rejection of the military reoccupation of the enclave and any attempts to displace Palestinians from their land"".

Egypt and Qatar reportedly handed Hamas a new proposal to resume the Gaza ceasefire negotiations.

Israel withdrawal call splits Lebanon media

Lebanese media were divided over the US envoy Tom Barrack's call yesterday for Israel to withdraw from Lebanese territory after Beirut approved a plan to disarm Hezbollah by the end of the year.

The French-language daily L'Orient-Le Jour commented that Barrack had declared himself ""satisfied"" with Lebanon's action, highlighting his comment, following talks in Beirut, that it was Israel's turn to comply with the November ceasefire agreement.

Meanwhile, the pro-Hezbollah Al-Akhbar daily said Barrack's visit had been ""to no avail"", noting that it followed the visit of the secretary of Iran's Supreme National Security Council, Ali Larijani, with both visits representing the ""height of tensions"" between Washington and Tehran.

The pro-Iran Al-Mayadeen TV questioned whether Barrack's comment was a ""recalculation or a new manoeuvre, while ignoring Israel's violations"" of the ceasefire agreement.

In related news, the UN Security Council started talks late yesterday on a French-drafted resolution to extend the mandate of the UN peace-keeping mission in Lebanon, Unifil, which expires on 31 August.

Israeli families cross into Syria

A group of Israeli families crossed into Syria yesterday, attempting to establish a new Jewish settlement there called ""Neve Habashan"", Israeli media reported.

According to the right-wing, pro-settlement Arutz Sheva, the families spent an ""extended period of time"" in Syria before being evacuated back to Israel by the army.

One of the members of the ""Bashan Pioneers"" movement told Arutz Sheva that the fence was ""wide open"" and it took 30-40 minutes before Israeli forces had noticed they had crossed the border area.

The Walla news site quoted the army as calling the crossing a ""serious incident that constitutes a criminal offence and endangers the public and Israeli forces"".

US forces start Iraq withdrawal

Washington has started the first phase of withdrawing forces in the US-led coalition against the Islamic State (IS) from Iraq, as the first US convoy left the Ain al-Asad airbase in the western Anbar province yesterday, heading towards Syria.

An Iraqi military spokesman described the move as an ""indicator of Iraq's ability to confront terrorism and maintain security and stability without needing assistance from others"", according to the official news agency INA.

The first phase is scheduled to end by late September, with US troops and equipment due to be redeployed to Iraq's semi-autonomous Kurdistan Region or to Kuwait.

By September 2026, the US will complete its military exit, reducing its troop numbers from around 2,000 to fewer than 500.

'Catastrophic' flooding hits southern Yemen

Yemeni media have reported that flooding from heavy rain overnight has brought parts of the southern city of Aden - the temporary capital of the internationally recognised government - to a standstill this morning.

Southern Yemen-focused Aden al-Ghad called the situation ""catastrophic"", saying floods had swept large quantities of debris on to main roads in the city's Mualla district and had submerged vehicles.

It said residents had criticised a lack of emergency response and poor drainage systems.

The leading Al-Masdar Online website said residents had been evacuated from damaged homes in the city's Crater district, and that several flights into Aden had been diverted.

Flooding across Yemen last year caused widespread devastation, with some media blaming the extent of the damage on corruption and neglect by the internationally recognised government.

Hadramawt protests - potential flashpoint?

Yemen's southeastern province of Hadramawt has become the crucible of a summer of unrest in the government-controlled south.

The Aden-based authorities have come under increasing pressure to address deteriorating economic and living conditions that have already seen months of street protests.

But weeks of protests in Hadramawt have led to fears that the province is on the brink of a military escalation that could have repercussions for the country as a whole.

The protests have also highlighted underlying tensions between the UAE and Saudi Arabia over influence in Yemen.

See our Explainer: Hadramawt emerges as focal point of southern Yemen unrest"
BBCMEP0020240315ek3f0005l,Programme summary of Iranian Isfahan Province TV news 16:30 GMT 12 Mar 24,"Summary of programme broadcast on Iranian state-run provincial TV from Isfahan on 12 March at 16:30 GMT

A. News headlines.","B. Provincial news:

1. 16:31 Video report about casualties of the Chaharshanbeh&#160;Suri bonfire festival celebrated on 12 March.&#160;Four teenagers have been hospitalised in Ezhiyeh.&#160;

2. 16:37 Video report about programmes and ceremonies carried out in the province on the occasion of Martyrs Day. Provincial authorities, military personnel and people have visited martyrs' cemeteries across the province.

3. 16:40 A ""martyrs"" commemoration ceremony has been held in Kashan.&#160; &#160;

4. 16:43 Video report on the meeting of the Air Pollution Control Workgroup of the province in Isfahan.&#160;

5. 16:46 The Supreme Leader's&#160;representative in the province,&#160;Ayatollah Tabatabainejad, has met with the head of Islamic Propagation Coordination Council of the province on the occasion of the start of fasting month of Ramadan.

C. Provincial news in brief:

1. 16:47 Charitable essential products have been distributed among 800 needy families in Dorcheh.&#160;

2. 16:47 A Quran reciting ceremony has been held in Mahabad City of Ardestan County.&#160;

3. 16:47 A ""martyrs"" commemoration ceremony has been held in Isfahan.&#160; &#160;

4. 16:47 Repot on a funeral procession held for the father of Iran-Iraq war ""martyred"" Rashidi brothers in Falavarjan.

5. 16:47 Trees have been planted in different regions of the province on the occasion of Martyrs Day.

6. 16:48 Nowruz (Iranian New Year)&#160;Trips Service HQ of Khur-Biabanak has staged drills ahead of the start of trips.

7. 16:48 Report on the meeting of the Flour and Bread HQ of Ardestan County.

8. 16:48 A students' handicrafts exhibition has been staged in Meymeh.

D. More provincial news:

1. 16:49 A festival has been held in a school in Isfahan.&#160;

2. 16:50 A show of classic cars has been held in Shahinshahr.&#160;

E. 16:52 Sport.

F. 16:54 Weather, calendar and prayer times.

16:55 End of bulletin.

Source: Vision of the Islamic Republic of Iran Isfahan Provincial TV, Esfahan, in Persian 1630 GMT 12 Mar 24"
BBCMEP0020240313ek3d00105,Briefing: Sudan TV dedicates news bulletin to recapture of its HQ by army,"By BBC Monitoring

At a glance","- The state-owned Sudan TV dedicated most of its 19:00 GMT news bulletin on 12 March to the recapture of its headquarters by the&#160;army from the Rapid Support Forces paramilitary group

- The TV&#160;said the army received&#160;much&#160;commendation in the country for &#8220;liberating&#8221; the state broadcaster headquarters

Full story

The state-owned Sudan TV channel dedicated most of its 19:00 GMT news bulletin on 12 March to the recapture of its headquarters by the regular&#160;army after weeks of fierce fighting with the rival Rapid Support Forces&#160;(RSF)&#160;paramilitary group.

The seizure of the Sudan Radio and Television Corporation&#160;(SRTC) headquarters by the army marked a significant setback for the RSF as the paramilitary group has been controlling the premises since its war with the army began in April 2023.

Sudan&#160;TV has been airing clips of army troops inside the television and radio headquarters in Omdurman, hours after the military announced the takeover.

The TV said in its 19:00 GMT bulletin on 12 March that the Sudan Armed Forces (SAF) has received much commendation in the country for &#8220;liberating&#8221; the state broadcaster headquarters.

It said the armed forces, other security agents&#160;and volunteer fighters deserve recognition for the liberation of the TV headquarters in Omdurman.

&#160;""This institution serves as the national voice and embodies the people's memory and historical heritage, reflecting their culture,"" the TV said.

Sudan TV showed the commander-in-chief of the armed forces, Lt Gen&#160;Abdel Fattah al-Burhan, arriving in Omdurman to congratulate the army for the victory.&#160;

The TV also broadcast a statement by the chief of staff of the Sudan army, Lt Gen Mohammed Osman al-Hussein, flaunting the liberation of the TV premises and congratulating the army for the victory.

Several ministries have&#160;issued statements &#8220;emphasising the significance of this victory as a step in the ongoing efforts to free the country from the grip of RSF rebellion&#8221;, Sudan TV said.

The television prominently broadcast statements by the governors of&#160;states controlled by the army&#160;sending congratulatory&#160;messages over the recapture of the TV premises in Omdurman.&#160;These&#160;include&#160;the Northern, Kassala, Qadaref, South Kordofan, North Kordofan, West Kordofan, Blue Nile and White Nile states.

It said the residents of some of those states who spoke to Sudan TV &#8220;expressed their joy at the liberation&#8221; of the TV premises.

Sudan TV has been operating from the eastern city of Port Sudan, which has become the government base after the conflict began.

It is worth noting that RSF has not used the state broadcaster headquarters in Omdurman for broadcasting despite having controlled it for more than ten months. It instead turned the premises into ""a military base"" according to local media.

The group has yet to comment officially on the army's recapture of the TV building.

See: Briefing: Sudan army announces recapture of state TV and radio headquarters

Source: Sudan TV, Omdurman, in Arabic 1900 GMT 12 Mar 24"
BBCMEP0020240305ek3500105,Programme summary of Iranian Khuzestan Province TV news 19:30 GMT 1 Mar 24,"Summary of programme broadcast on Iranian state-run provincial TV from Khuzestan on 1 March at 19:30 GMT

19:31 Video clip hailing the high public turnout in the 12th Majlis and sixth Assembly of Experts elections.","A. News headlines.

B. Provincial news:

1. 19:31 Correspondent Zanganeh is reporting live from a voting station in Ahvaz.&#160;

2. 19:34 According to the head of the province's Election HQ, Shahavand, schools will be closed in the province on 2 March.

3. 19:34 Video report hailing the people's active participation in the elections in different regions of the province.

4. 19:37 Head of the province's Election HQ Shahavand is interviewed over the phone about the latest state of election process in the province.

5. 19:38 Video report on the people's participation in the elections in Ahvaz and other regions of the province.

6. 19:51 In the Friday prayer sermons in Ahvaz, Supreme Leader's representative in the province, Hojjat ol-Eslam val-Moslemin Mousavifard, has hailed the people's active participation in the elections.

7. 19:52 Head of the Meteorology Organisation of the country has visited the Meteorology Centre of the province.&#160;

C. 19:54 Weather.

D. Other news:

1. 19:55 Head of the Cooperatives, Labour and Social Welfare Department of the province is interviewed over the phone about the launch of another phase of the essential products electronic voucher project in the province.&#160;

E. Provincial news in brief, including:

1. 19:57 Show performances are being staged in the Shahrvand Park of Ahvaz every evening on the occasion of the National Congress of 24,000 Martyrs of Khuzestan.

E. 19:57 Calendar and prayer times.

19:58 End of bulletin.

Source: Vision of the Islamic Republic of Iran Khuzestan Provincial TV, Ahvaz, in Persian 1930 GMT 1 Mar 24"
